"% GC","L13_pBIC10_1733","L14_pBIC10_1734","L15_pBIC10_1740","P10_pBIC_1766","P11_pBIC_1521","P9_pBIC_1761","Y2_YC_1669","Y3_YC_1671","Y4_YC_1067","Y6_YC_1070"
77,0.1411140553408633,0.1474069737289717,0.12461401247441087,0.11970844862311514,0.14308857824183535,0.110219085830798,0.1439979646473068,0.15753653957476307,0.14784098572081783,0.1752559301447599
78,0.12076587957000175,0.13078977653713209,0.10907571841266946,0.10267515530188431,0.1237033484085268,0.09417010935822356,0.12414126512693688,0.13630353145907753,0.12520814215090376,0.14872896637739716
79,0.10068849311275588,0.11113482826928273,0.0920342855891567,0.08696456764547808,0.1062587921730903,0.07995152397204948,0.11230369616741001,0.12453783399557009,0.11239632692926281,0.1364551222031709
80,0.08061110665551001,0.09147988000143337,0.07499285276564395,0.07125397998907185,0.08881423593765381,0.06573293858587538,0.10046612720788313,0.11277213653206261,0.09958451170762182,0.12418127802894467
81,0.06960926507277684,0.07796209324438587,0.06371003341802708,0.06061700848464969,0.07546916065856651,0.05577528053119189,0.08757915381457948,0.1002025144372146,0.08611114465450424,0.10704930087864252
82,0.05860742349004366,0.06444430648733837,0.0524272140704102,0.049980036980227516,0.062124085379479214,0.0458176224765084,0.07469218042127582,0.0876328923423666,0.07263777760138668,0.08991732372834037
83,0.050834539328757804,0.05442055006128992,0.04431085077585547,0.04206634328920875,0.05236439177118347,0.03898464446491801,0.06610018161972848,0.0776068183187231,0.06257032886457287,0.0782470952745885
84,0.04306165516747196,0.04439679363524146,0.03619448748130075,0.03415264959818999,0.042604698162887714,0.032151666453327635,0.05750818281818114,0.06758074429507961,0.052502880127759055,0.0665768668208366
85,0.03711044457050963,0.03792153330711646,0.030489592414694948,0.028318810670605727,0.03525574104503563,0.026684251091974965,0.047496823527590014,0.05644531557050113,0.045064256365792726,0.06039467355468791
86,0.031159233973547314,0.031446272978991455,0.024784697348089146,0.022484971743021467,0.02790678392718355,0.02121683573062229,0.03748546423699889,0.04530988684592265,0.03762563260382639,0.05421248028853922
87,0.025464452650842236,0.024469516532770113,0.01941090302238035,0.018065024230973958,0.022098076461679512,0.016876371088943867,0.03186848601284801,0.04051494120486483,0.033338326839713016,0.05009134263568765
88,0.019769671328137166,0.017492760086548775,0.014037108696671548,0.013645076718926449,0.01628936899617547,0.012535906447265441,0.02625150778869713,0.035719995563807005,0.029051021075599637,0.04597020498283609
89,0.014458508199720945,0.013253679170263164,0.010531738315906576,0.010089857000149248,0.012267719804173642,0.009471137624833292,0.02023075481170636,0.026996340733250156,0.021373134363763875,0.03258940746315929
90,0.009147345071304724,0.009014598253977551,0.007026367935141603,0.006534637281372046,0.008246070612171814,0.006406368802401142,0.014210001834715583,0.01827268590269331,0.013695247651928115,0.019208609943482485
91,0.006511252131940165,0.006624270445182318,0.005100318787504789,0.004798009781854075,0.005818948487128695,0.004591471997206237,0.009572741031160988,0.012770858628995515,0.009447819046126307,0.013245470769441419
92,0.003875159192575605,0.004233942636387085,0.0031742696398679754,0.0030613822823361042,0.003391826362085575,0.0027765751920113303,0.004935480227606394,0.007269031355297719,0.005200390440324503,0.007282331595400355
93,0.0026473758274318786,0.0029997278047606555,0.0021497130699536654,0.002016332105635024,0.002262241676886182,0.0019057965882667055,0.0031297667390178417,0.004501773634457145,0.003395693403916176,0.004592347344318647
94,0.0014195924622881519,0.0017655129731342263,0.001125156500039356,0.0009712819289339446,0.0011326569916867892,0.0010350179845220807,0.0013240532504292899,0.001734515913616572,0.00159099636750785,0.0019023630932369375
95,0.0010277685312230695,0.0011797490647020323,0.0007823353789336148,0.0006577668759236207,0.0007414499656249868,0.0007499232103423459,0.0008454674393221085,0.0011287633006750956,0.0010388510985783906,0.001260777996797254
96,0.0006359446001579872,0.0005939851562698385,0.0004395142578278735,0.0003442518229132968,0.0003502429395631844,0.0004648284361626111,0.00036688162821492707,0.0005230106877336188,0.000486705829648931,0.0006191929003575703
97,0.00041438970719972064,0.0003699561526940171,0.0002783590299576532,0.000195690768382261,0.000199699921680763,0.00027993001377792803,0.00020496180347202633,0.0003156451220892348,0.0002903875118073454,0.00035632798982841306
98,0.00019283481424145415,0.00014592714911819564,0.00011720380208743293,0.00004712971385122516,0.00004915690379834167,0.00009503159139324494,0.00004304197872912552,0.00010827955644485078,0.00009406919396575978,0.00009346307929925589
99,0.00011693174906130731,0.00008324013435615384,0.00006836888455100255,0.00003381044689327022,0.000029698962711498088,0.00005991122066095876,0.000029719461503443813,0.00006639784121618209,0.00005316954441542944,0.000059387998304735514
100,0.00004102868388116046,0.00002055311959411206,0.000019533967014572154,0.00002049117993531529,0.000010241021624654515,0.000024790849928672596,0.000016396944277762106,0.000024516125987513388,0.0000122698948650991,0.00002531291731021514
